X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
8,6,9,3,92.3,88.8,440.9,274,17.1,67,3.6,0,6.57
6,5,11,7,92.2,102.3,751.5,483,19.7,35,1.8,0,6.58
6,3,6,4,88,17.2,43.5,370,15.2,51,2.7,0,6.61
7,4,12,2,91.7,48.5,696.1,189,16.8,45,4.5,0,6.83
2,2,4,7,79.5,3.6,15.3,508,4.6,59,0.9,0,6.84
2,5,10,6,93.9,135.7,586.7,124,23.5,36,5.4,0,6.96
6,3,9,3,92.7,164.1,575.8,334,26.3,39,3.1,0,7.02
6,4,11,3,91,129.5,692.6,379,18.7,43,2.7,0,7.04
8,6,5,1,89.3,51.3,102.2,460,11.4,99,1.8,0,7.19
1,4,11,5,92.8,119,783.5,262,16.8,28,4,0,7.21
7,4,11,2,90.9,126.5,686.5,496,19.4,48,1.3,0,7.3
5,4,11,6,92.1,99,745.3,271,10.1,75,3.6,0,7.31
7,4,9,1,93.7,101.3,423.4,180,18.2,82,4.5,0,7.36
6,4,5,7,90.8,41.9,89.4,512,13.3,42,0.9,0,7.4
6,3,11,2,91.6,108.4,764,444,23,34,2.2,0,7.48
5,4,9,4,93.7,101.3,458.8,40,19.3,39,7.2,0,7.73
5,4,11,6,90.3,290,855.3,276,16.2,58,3.6,0,7.8
9,4,9,7,91.6,104.2,474.9,513,25.3,39,0.9,0,8
4,3,10,7,94.2,117.2,581.1,377,21.4,44,2.7,0,8.02
6,3,11,6,92.5,122,789.7,386,19.7,39,2.7,0,8.12
9,5,8,4,93.3,49.5,297.7,200,28,34,4.5,0,8.16
7,4,5,1,90.7,44,92.4,226,11.5,60,4,0,8.24
6,5,5,6,91.2,48.3,97.8,257,11.7,33,4,0,8.31
8,6,10,5,90.7,194.1,643,366,16.2,63,2.7,0,8.59
8,6,10,5,95.2,131.7,578.8,424,20.7,45,2.2,0,8.68
2,4,10,3,94.8,108.3,647.1,249,20.1,40,4,0,8.71
2,4,10,2,93.6,97.9,542,258,28.3,32,4,0,8.85
4,6,2,1,84.4,27.2,353.5,16,4.8,57,8.5,0,8.98
2,2,10,3,92.1,152.6,658.2,361,23.7,24,3.1,0,9.27
4,6,2,6,84.7,26.7,352.6,147,2.2,59,4.9,0,9.27
4,5,11,4,92.9,133.3,699.6,267,24.3,25,4,0,9.41
1,4,10,6,90.5,196.8,649.9,136,11.8,88,4.9,0,9.71
4,4,2,2,85.4,25.4,349.7,21,4.6,21,8.5,0,9.77
4,3,11,6,90.3,290,855.3,327,19.9,44,3.1,0,9.96
7,4,4,2,84.7,9.5,58.3,54,7.5,71,6.3,0,9.96
7,4,10,1,94.8,108.3,647.1,497,16.4,47,1.3,0,10.01
8,6,10,6,93.9,135.7,586.7,165,20.8,34,4.9,0,10.02
4,3,8,5,93,103.8,316.7,393,26.4,35,2.7,0,10.08
2,4,10,1,94.2,122.3,589.9,223,15.4,66,4,0,10.13
6,3,10,5,91.6,138.1,621.7,333,18.9,41,3.1,0,10.34
4,4,2,2,85.4,25.4,349.7,19,4.6,21,8.5,0,10.73
7,5,10,3,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,10.82
6,5,6,5,81.5,9.1,55.2,74,5.8,54,5.8,0,10.93
7,4,11,1,91,276.3,825.1,31,13.8,77,7.6,0,11.06
1,2,11,5,92.9,137,706.4,516,21.5,15,0.9,0,11.06
4,3,10,1,81.6,56.7,665.6,397,27.8,32,2.7,0,11.16
8,6,2,4,84,27.8,354.6,25,5.1,61,8,0,11.19
4,4,11,7,91.2,124.4,795.3,436,17.1,41,2.2,0,11.22
6,4,11,3,91,129.5,692.6,384,18.3,40,2.7,0,11.24
2,4,11,2,63.5,70.8,665.3,295,22.6,38,3.6,0,11.32
1,2,11,3,91,129.5,692.6,437,18.8,40,2.2,0,11.53
6,5,5,1,90.1,37.6,83.7,279,12.4,54,3.6,0,12.1
7,4,10,7,91.6,273.8,819.1,24,15.5,72,8,0,12.18
6,5,11,7,91.2,94.3,744.4,149,15.4,57,4.9,0,12.64
7,4,4,1,83.9,8.7,32.1,411,8.8,68,2.2,0,13.05
7,4,11,6,92.1,99,745.3,375,19.8,47,2.7,0,13.06
8,6,12,4,91.4,37.9,673.8,391,20.2,37,2.7,0,13.7
5,6,5,7,90.6,50.1,100.4,225,15.1,64,4,0,13.99
6,3,11,1,92.4,105.8,758.1,490,24.8,28,1.8,0,14.29
4,5,11,5,92.9,137,706.4,517,21.5,15,0.9,0,14.57
7,5,10,3,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,14.68
5,4,10,1,93.6,235.1,723.1,231,24.1,50,4,0,15.34
3,5,10,7,93.5,139.4,594.2,75,17.6,52,5.8,0,15.45
7,4,11,7,91.2,124.4,795.3,207,21.5,28,4.5,0,15.64
7,4,10,1,91.6,181.3,613,145,19.3,61,4.9,0,16
6,6,10,7,96,164,643,166,30.8,30,4.9,0,16.33
5,4,10,3,95.1,141.3,605.8,59,24.1,43,6.3,0,16.4
1,4,11,3,91,129.5,692.6,440,21.7,38,2.2,0,17.2
6,5,2,3,85.4,25.4,349.7,18,5.1,24,8.5,0,17.85
6,5,11,6,90.3,290,855.3,221,10.3,78,4,0,18.3
2,2,11,6,92.4,117.9,668,197,23,37,4.5,0,19.23
8,6,11,2,91.9,111.7,770.3,419,15.7,51,2.2,0,20.03
3,4,2,2,85.4,25.4,349.7,20,4.6,21,8.5,0,22.03
4,6,11,5,93.7,80.9,685.2,332,17.6,42,3.1,0,23.41
7,4,12,7,90.6,43.7,686.9,500,14.6,33,1.3,0,24.23
5,4,4,6,85.2,4.9,15.8,26,7.5,46,8,0,24.24
3,4,11,1,90.5,96.7,750.5,102,20.6,55,5.4,0,24.59
4,4,2,2,85.4,25.4,349.7,22,4.6,21,8.5,0,24.77
7,4,10,7,93.5,139.4,594.2,90,23.7,32,5.8,0,26
6,3,11,6,94.3,85.1,692.3,309,25.4,24,3.6,0,26.13
2,5,10,1,94.9,130.3,587.1,266,33.1,25,4,0,26.43
1,3,5,2,87.6,52.2,103.8,312,8.3,72,3.1,0,27.35
6,3,11,2,91.5,130.1,807.1,479,20.6,37,1.8,0,28.19
3,4,5,7,91.7,35.8,80.8,173,15.2,27,4.9,0,28.66
6,5,5,7,91.7,35.8,80.8,176,17.4,25,4.9,0,28.66
9,9,10,6,94.8,227,706.7,252,25,36,4,0,28.74
3,6,11,1,92.4,124.1,680.7,494,17.2,58,1.3,0,29.48
8,6,11,6,91.1,91.3,738.1,376,20.7,46,2.7,0,30.18
4,5,11,2,88.6,91.8,709.9,101,17.4,56,5.4,0,30.32
5,4,11,4,92.9,133.3,699.6,482,21.9,35,1.8,0,31.72
6,5,5,2,90.1,39.7,86.6,355,15.2,27,3.1,0,31.86
4,3,10,1,90.2,99.6,631.2,447,21.5,34,2.2,0,32.07
6,5,11,5,92.8,119,783.5,261,16.8,28,4,0,34.36
5,4,11,6,93.3,141.2,713.9,501,27.6,30,1.3,0,35.88
3,5,5,2,87.6,52.2,103.8,422,9,49,2.2,0,36.85
2,2,9,6,88.3,150.3,309.9,270,13.4,79,3.6,0,37.02
2,5,11,4,90.1,82.9,735.7,425,18.3,45,2.2,0,37.71
4,3,7,6,89.6,25.4,73.7,250,18,40,4,0,38.48
6,5,11,7,91.2,94.3,744.4,153,16.8,47,4.9,0,39.35
8,6,10,3,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,40.54
3,4,10,5,91.6,248.4,753.8,318,16.8,56,3.1,0,42.87
1,3,10,6,95.9,158,633.6,452,32.4,27,2.2,0,43.32
4,4,10,4,95.1,141.3,605.8,256,28.7,33,4,0,46.7
3,5,11,6,93.5,149.3,728.6,328,17.2,43,3.1,0,48.55
7,5,12,2,91.7,48.5,696.1,242,16.1,44,4,0,49.37
4,3,10,4,94.5,139.4,689.1,168,28.9,29,4.9,0,49.59
4,5,4,1,85,9,56.9,464,10.1,62,1.8,0,51.78
8,6,10,1,81.6,56.7,665.6,392,27.8,35,2.7,0,54.29
8,6,11,2,91.6,108.4,764,442,22.7,35,2.2,0,56.04
8,6,10,7,92.2,81.8,480.8,201,20.1,34,4.5,0,58.3
2,4,5,3,93.4,15,25.6,38,15.2,19,7.6,0,61.13
1,5,11,1,93.5,149.3,728.6,350,27.8,27,3.1,0,64.1
9,4,8,7,90.5,61.1,252.6,322,24.5,50,3.1,0,70.32
1,4,11,1,91,276.3,825.1,32,14.5,76,7.6,0,70.76
8,6,10,7,92.2,81.8,480.8,244,16.4,43,4,0,71.3
1,4,10,4,91.7,191.4,635.9,232,19.9,50,4,0,82.75
7,6,9,3,93.1,180.4,430.8,129,26.9,28,5.4,0,86.45
4,5,11,4,92.9,133.3,699.6,503,19.4,19,1.3,0,88.49
4,6,11,1,93.5,149.3,728.6,357,28.3,26,3.1,0,95.18
7,5,11,3,91,129.5,692.6,441,20.7,37,2.2,0,103.39
9,4,11,3,84.4,73.4,671.9,337,24.3,36,3.1,0,105.66
4,5,11,7,92.5,121.1,674.4,360,17.7,25,3.1,0,154.88
2,5,10,7,93.7,231.1,715.1,141,18.9,64,4.9,0,174.63
8,8,10,4,91.7,191.4,635.9,198,26.2,36,4.5,0,185.76
3,4,10,1,91.4,142.4,601.4,179,11.6,87,4.5,0,196.48
8,6,11,7,92.5,121.1,674.4,465,17.8,56,1.8,0,200.94
1,5,11,3,91,129.5,692.6,449,21.6,33,2.2,0,212.88
7,4,9,2,89.2,103.9,431.6,148,22.6,57,4.9,0,278.53
4,5,11,7,92.5,88,698.6,324,20.3,45,3.1,0,746.28
2,2,11,7,92.5,121.1,674.4,471,18.2,46,1.8,0,1090.84
